"","defaults","PSO","GA","EDA","RS","SMBO","Irace"
"autoUniv-au7-cpd1-500",0.368440571124782,0.375046872231083,0.390043783701678,0.389139236981342,0.39124263942685,0.367807004885952,0.38553818890661
"backache",0.611805555555555,0.60875,0.618402777777778,0.612013888888889,0.619930555555556,0.532013888888889,0.604027777777778
"balance-scale",0.570306513409962,0.565974274767378,0.572988505747126,0.567534209085933,0.567060755336617,0.579069512862616,0.56143951833607
"banana",0.834593694115454,0.889592161971436,0.891064506042699,0.888914175025765,0.890943579944555,0.886259470278935,0.891436653886461
"bank-marketing",0.663491896468312,0.685267356071601,0.6781519109821,0.686196843251089,0.689451499758103,0.678532595549105,0.692091376390905
"banknote-authentication",0.969307663828212,0.983015044013247,0.980829251663521,0.97953758272083,0.983291353334021,0.984992352559162,0.983561492100679
"blood-transfusion-service",0.606137137716085,0.615070368228263,0.611785553627659,0.613430049482681,0.621948460895829,0.625975194396247,0.622884776042671
"breast-cancer-wisconsin",0.927873847167325,0.924552591128678,0.922828831796223,0.924711791831357,0.926858256477822,0.901756697408871,0.927549956082565
"breast-tissue-6class",0.314814814814815,0.332407407407407,0.34537037037037,0.339814814814815,0.337037037037037,0.37037037037037,0.283333333333333
"bupa",0.681904761904762,0.659488304093567,0.676115288220551,0.682905179615706,0.66468671679198,0.62202798663325,0.67047619047619
"car-evaluation",0.891902475514916,0.935228945695453,0.919692455338388,0.921294309093352,0.942685630424865,0.941288542664141,0.941283278125383
"cardiotocography-3class",0.964355110497445,0.973901003971008,0.974467636561751,0.974486576545647,0.974464856683726,0.970032068959409,0.976427006921738
"climate-simulation-crashes",0.608833333333333,0.597272108843537,0.606792517006803,0.589037414965986,0.59891156462585,0.623979591836735,0.609918367346939
"cloud",0.284722222222222,0.336111111111111,0.320138888888889,0.330555555555555,0.317361111111111,0.334027777777778,0.317361111111111
"cmc",0.509828543218803,0.510707508325029,0.502604145606771,0.504564541310972,0.507102439380476,0.51287316861347,0.50765462010646
"connectionist-mines-vs-rocks",0.708737373737374,0.710867003367003,0.710707070707071,0.700816498316498,0.703442760942761,0.694242424242424,0.724873737373737
"connectionist-vowel",0.591582491582492,0.82996632996633,0.745454545454545,0.787205387205387,0.82962962962963,0.831649831649832,0.823232323232323
"dermatology",0.928134920634921,0.929246031746032,0.92739417989418,0.929246031746032,0.928134920634921,0.941320346320346,0.926510341510342
"fertility-diagnosis",0.477777777777778,0.49837962962963,0.497685185185185,0.491435185185185,0.502083333333333,0.537037037037037,0.531712962962963
"first-order-theorem",0.272917615469553,0.398398458101835,0.394014080500842,0.391842213659562,0.398560635020998,0.396378490498673,0.40241719792624
"flare",0.538678822539117,0.541140613652869,0.533457532844788,0.531180761867036,0.545098121740279,0.551643642305407,0.539812008978676
"habermans-survival",0.554365079365079,0.598214285714286,0.594146825396825,0.594642857142857,0.601785714285714,0.596230158730159,0.581845238095238
"hayes-roth",0.600925925925926,0.780555555555556,0.774074074074074,0.759259259259259,0.776851851851852,0.737962962962963,0.806481481481481
"heart-disease-processed-cleveland",0.283575163398693,0.312700980392157,0.312936274509804,0.294173202614379,0.311212418300654,0.282993464052288,0.275243464052288
"heart-disease-processed-hungarian",0.8096181109339,0.796539074960128,0.79317384370016,0.786232500443027,0.7935477582846,0.764028885344675,0.786603756866915
"heart-disease-processed-va",0.224444444444444,0.231111111111111,0.225,0.226111111111111,0.228444444444444,0.220777777777778,0.248555555555556
"heart-disease-reprocessed-hungarian",0.30953216374269,0.286393762183236,0.295594541910331,0.302115009746589,0.306335282651072,0.327992202729045,0.302309941520468
"hepatitis",0.623931623931624,0.648931623931624,0.635470085470085,0.631196581196581,0.650534188034188,0.668055555555556,0.642094017094017
"hill-valley-with-noise",0.517295081967213,0.546507285974499,0.542062841530055,0.538155737704918,0.54261839708561,0.529530965391621,0.537167577413479
"horse-colic-surgical",0.83847687400319,0.826965709728868,0.829118819776715,0.824493620414673,0.82457336523126,0.86006379585327,0.830039872408293
"indian-liver-patient",0.574151721664275,0.56148075083692,0.570424139167862,0.564664335246294,0.566515423242468,0.556371054519369,0.582488641798183
"ionosphere",0.849498750042228,0.888156227830141,0.883199047329482,0.885257677105503,0.888946741664133,0.891454680585115,0.882905560622952
"iris",0.945555555555556,0.938333333333333,0.945555555555556,0.947777777777778,0.938333333333333,0.919444444444445,0.947777777777778
"kr-vs-kp",0.966787979406094,0.993315924558143,0.988770662842898,0.990443878128748,0.993288528370127,0.992466196839456,0.992936050108742
"led7digit",0.253333333333333,0.25,0.245,0.255,0.236666666666667,0.265,0.245
"lsvt-voice-rehabilitation",0.740555555555556,0.718564814814815,0.727407407407407,0.729768518518519,0.72375,0.759444444444444,0.698055555555556
"mammographic-mass",0.781765572390572,0.783564246064246,0.784490171990172,0.785242486804987,0.78074566043316,0.78968385999636,0.790171137046137
"meta-data",0.0636574074074074,0.0608796296296296,0.0622685185185185,0.056712962962963,0.0599537037037037,0.0587962962962963,0.0627314814814815
"mfeat-fourier",0.684473684210526,0.749271929824561,0.750938596491228,0.749666666666667,0.746315789473684,0.748605263157895,0.746622807017544
"micro-mass-mixed-spectra",0.848055555555556,0.865,0.863888888888889,0.863055555555556,0.864722222222222,0.859722222222222,0.871666666666667
"molecular-promotor-gene",0.724444444444444,0.712777777777778,0.719444444444444,0.723888888888889,0.727777777777778,0.720555555555556,0.735
"molecular-splice-junction",0.940462831451915,0.939259980833756,0.93977970679643,0.938940241949699,0.938834280373149,0.939853887753282,0.939482439295052
"monks1",0.84011544011544,0.945779220779221,0.856096681096681,0.899819624819625,0.944191919191919,0.941269841269841,0.930519480519481
"monks2",0.693508483853311,0.954258347016968,0.855708812260536,0.892153804050356,0.963169129720854,0.953639846743295,0.972610837438424
"monks3",0.98367839889579,0.985852311939268,0.982022084195997,0.98440303657695,0.985852311939268,0.985802277432712,0.985852311939268
"movement-libras",0.527777777777778,0.608148148148148,0.561111111111111,0.564444444444444,0.607777777777778,0.615555555555556,0.605185185185185
"multiple-features",0.904877192982456,0.936947368421053,0.935798245614035,0.936798245614035,0.937438596491228,0.941324561403509,0.938464912280702
"mushroom",0.994681894496929,0.999914857247247,0.999574721192825,0.999787197487691,0.999957482993197,0.999914857247247,1
"nursery-4class",0.670975914545547,0.989824661217268,0.951820369896921,0.964052518937899,0.994073180447448,0.996173717646302,0.991341577794631
"optdigits",0.767767869909884,0.90344998206069,0.892810457439314,0.89707951042706,0.904809555236053,0.909323531529974,0.90317015763023
"ozone-eighthr",0.604254422036282,0.637317188729171,0.623581015042075,0.640383858971608,0.635585472836063,0.616032116379413,0.635683881022194
"ozone-onehr",0.557460317460317,0.561198841325148,0.56559620596206,0.55338283280792,0.567236256291134,0.559037871246059,0.579859175377468
"page-blocks",0.743272733641361,0.817751819076201,0.820291603623454,0.815399262761269,0.816398359734296,0.797379289721627,0.811628250810961
"parkinsons",0.77718253968254,0.811666666666667,0.805595238095238,0.806349206349206,0.820634920634921,0.790436507936508,0.79484126984127
"phoneme",0.757252863330048,0.843230661109849,0.834275824013368,0.840259328311162,0.843794181675248,0.841524580250099,0.844972891568369
"plant-species-leaves-margin",0.0585,0.466333333333333,0.4455,0.464666666666667,0.468666666666667,0.476833333333333,0.4645
"plant-species-leaves-shape",0.0805,0.436166666666667,0.405666666666667,0.427333333333333,0.438333333333333,0.442,0.436833333333333
"plant-species-leaves-texture",0.021,0.514,0.424166666666667,0.462333333333333,0.516666666666667,0.521166666666667,0.505833333333333
"robot-nav-sensor-readings-4",1,1,1,1,1,1,1
"saheart",0.621279121863799,0.632932347670251,0.640147849462366,0.639200268817204,0.636803315412186,0.645557795698925,0.635501792114695
"seeds",0.904761904761905,0.917460317460317,0.912698412698413,0.914285714285714,0.920634920634921,0.911111111111111,0.934920634920635
"semeion",0.620809640522876,0.75803839869281,0.746741830065359,0.756632352941176,0.760541666666667,0.753996732026144,0.758486111111111
"statlog-german-credit",0.662063492063492,0.664761904761905,0.668809523809524,0.657222222222222,0.661666666666667,0.623809523809524,0.663809523809524
"statlog-heart",0.811111111111111,0.791944444444444,0.781944444444444,0.796666666666667,0.788055555555556,0.793055555555556,0.7875
"statlog-image-segmentation",0.9188013136289,0.953716475095785,0.947011494252874,0.951187739463602,0.955785440613027,0.950487137383689,0.955785440613027
"statlog-landsat-satellite",0.796865038334087,0.835444563896708,0.833971230343581,0.834530225668318,0.834789602951723,0.828229329483991,0.838107873732096
"statlog-vehicle-silhouettes",0.699666685653528,0.713655540366067,0.701467779296727,0.72019888736994,0.718496810207336,0.696817327409433,0.728908920027341
"steel-plates-faults",1,1,1,1,1,1,1
"teaching-assistant-evaluation",0.414814814814815,0.387037037037037,0.435185185185185,0.436111111111111,0.414814814814815,0.438888888888889,0.416666666666667
"texture",0.810612244897959,0.92608658008658,0.909125541125541,0.916388373531231,0.926936301793445,0.925850340136054,0.924376004947434
"thoracic-surgery",0.490892857142857,0.514702380952381,0.50547619047619,0.506785714285714,0.5175,0.534285714285714,0.52047619047619
"thyroid-allbp",0.328396398366146,0.440148022154789,0.433343435957639,0.441408808360007,0.44059596133388,0.440771343836307,0.438021476440392
"thyroid-allhyper",0.328396398366146,0.440148022154789,0.433343435957639,0.441408808360007,0.44059596133388,0.440771343836307,0.438021476440392
"user-knowledge",0.759745920745921,0.754882672882673,0.759352758352758,0.756728826728827,0.760352758352758,0.742010101010101,0.779600621600622
"vertebra-column-3c",0.769259259259259,0.76037037037037,0.751851851851852,0.757777777777778,0.754074074074074,0.776296296296296,0.764074074074074
"wine",0.895462962962963,0.903386243386243,0.904748677248677,0.90521164021164,0.906164021164021,0.88718253968254,0.901481481481481
"yeast-4class",0.6417214278065,0.639427091167686,0.639918404535881,0.639288407822608,0.63813154026586,0.635730091367061,0.641207575313423
